懐かしい夏の思い出,なつかしいなつのおもいで
遠くから君の口ずさむメロディーが聞こえる,とおくからきみのくちずさむめろでぃーがきこえる
驚くべき筋密度,おどろくべききんみつど
ぽつりぽつりと雨が降っていた午後,ぽつりぽつりとあめがふっていたごご
この雨が止んだら外に出よう,このあめがやんだらそとにでよう
濡れたアスファルト,ぬれたあすふぁると
カーテン越しの梅雨空,かーてんごしのつゆぞら
雨音,あまおと
静かな夜,しずかなよる
傘,かさ
虹,にじ
水たまり,みずたまり
雨の匂い,あめのにおい
ゴロゴロ,ごろごろ
ランプの灯り,らんぷのあかり
心地よい,ここちよい
眠気,ねむけ
一人の時間,ひとりのじかん
物思いにふける,ものおもいにふける
月明かり,つきあかり
夜空,よぞら
静寂,せいじゃく
時計の針,とけいのはり
深呼吸,しんこきゅう
雨宿り,あまやどり
曇り空,くもりぞら
紫陽花,あじさい
読書,どくしょ
夢の中へ,ゆめのなかへ
おやすみなさい,おやすみなさい
なんとかなる,なんとかなる
お疲れ様,おつかれさま
ありがとう,ありがとう
大丈夫,だいじょうぶ
小さな幸せ,ちいさなしあわせ
日々の暮らし,ひびのくらし
木漏れ日,こもれび
そよ風,そよかぜ
森林浴,しんりんよく
打ち寄せる波,うちよせるなみ
焚火,たきび
珈琲の香り,こーひーのかおり
焼きたてのパン,やきたてのぱん
新しい発見,あたらしいはっけん
ワクワク,わくわく
心の余白,こころのよはく
たまには休もう,たまにはやすもう
道は続くよ,みちはつづくよ
明日は明日の風が吹く,あしたはあしたのかぜがふく
凛として生きる,りんとしていきる
満月,まんげつ
夜明け,よあけ
夜更け,よふけ
朝焼け,あさやけ
春夏秋冬,しゅんかしゅうとう
心に残る思い出,こころにのこるおもいで
大切な人,たいせつなひと
かけがえのない時間,かけがえのないじかん
何気ない日常,なにげないにちじょう
すべては上手くいく,すべてはうまくいく
信じる心,しんじるこころ
おかえりなさい,おかえりなさい
月が綺麗ですね,つきがきれいですね
星屑のシャンデリア,ほしくずのしゃんでりあ
夜の帳がおりる,よるのとばりがおりる
風の便りを待つ,かぜのたよりをまつ
夕暮れのグラデーション,ゆうぐれのぐらでーしょん
金木犀の香る道,きんもくせいのかおるみち
森のささやき,もりのささやき
耳を澄ます,みみをすます
桜吹雪,さくらふぶき
雪解け水は春の音,ゆきどけみずははるのおと
琥珀色,こはくいろ
記憶の回廊,きおくのかいろう
過ぎ去りし日々,すぎさりしひび
懐かしい痛み,なつかしいいたみ
ページをめくる,ぺーじをめくる
ペン先に宿る,ぺんさきにやどる
白紙の地図,はくしのちず
メロディー,めろでぃー
本棚,ほんだな
古い写真,ふるいしゃしん
君がくれた言葉,きみがくれたことば
あの夏へ,あのなつへ
言葉の海,ことばのうみ
孤独,こどく
儚い,はかない
ガラス玉,がらすだま
喜劇,きげき
主人公,しゅじんこう
世界の果て,せかいのはて
まだ終わらない,まだおわらない
なんで動くのか分からない,なんでうごくのかわからない
バグじゃない、仕様です,ばぐじゃない、しようです
あれ、何しに来たんだっけ,あれ、なにしにきたんだっけ
自動ドアに認識されない時がある,じどうどあににんしきされないときがある
やる気スイッチ、現在捜索中,やるきすいっち、げんざいそうさくちゅう
まだ本気だしてないだけ,まだほんきだしてないだけ
ダイエットは明日から,だいえっとはあしたから
脳内会議,のうないかいぎ
踊るアザラシ,おどるあざらし
見つめるキャベツ,みつめるきゃべつ
人類には早すぎる課題,じんるいにははやすぎるかだい
所持金がログアウトしました,しょじきんがろぐあうとしました
説明書は読まないタイプ,せつめいしょはよまないたいぷ
人生、だいたいなんとかなる,じんせい、だいたいなんとかなる
もうこんな時間ですか,もうこんなじかんですか
窓を叩く雨だれ,まどをたたくあまだれ
霧雨の降る朝,きりさめのふるあさ
